timestamp,type,raw,parsed
2026-08-12T19:59:53.663+00:00,BIN,"BIN,ver=1,type=1,seq=33951,ts=34,lat=0,lon=0,alt_mm=760,speed_cms=0,heading_cd=62814,pitch_cd=1031,roll_cd=-105,yaw_cd=-111,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33951,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":760,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1031,""roll_cd"":-105,""yaw_cd"":-111,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.747+00:00,BIN,"BIN,ver=1,type=1,seq=34107,ts=34,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=963,roll_cd=-163,yaw_cd=-268,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34107,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":963,""roll_cd"":-163,""yaw_cd"":-268,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.830+00:00,BIN,"BIN,ver=1,type=1,seq=34107,ts=34,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=1018,roll_cd=-158,yaw_cd=-258,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34107,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1018,""roll_cd"":-158,""yaw_cd"":-258,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.912+00:00,BIN,"BIN,ver=1,type=1,seq=34231,ts=34,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=1007,roll_cd=-35,yaw_cd=-153,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34231,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1007,""roll_cd"":-35,""yaw_cd"":-153,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.043+00:00,BIN,"BIN,ver=1,type=1,seq=34231,ts=34,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=1007,roll_cd=-35,yaw_cd=-153,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34231,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1007,""roll_cd"":-35,""yaw_cd"":-153,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.079+00:00,BIN,"BIN,ver=1,type=1,seq=34511,ts=34,lat=0,lon=0,alt_mm=750,speed_cms=0,heading_cd=62814,pitch_cd=965,roll_cd=-140,yaw_cd=-185,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34511,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":750,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":965,""roll_cd"":-140,""yaw_cd"":-185,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.165+00:00,BIN,"BIN,ver=1,type=1,seq=34511,ts=34,lat=0,lon=0,alt_mm=750,speed_cms=0,heading_cd=62814,pitch_cd=965,roll_cd=-140,yaw_cd=-185,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34511,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":750,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":965,""roll_cd"":-140,""yaw_cd"":-185,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.246+00:00,BIN,"BIN,ver=1,type=1,seq=34511,ts=34,lat=0,lon=0,alt_mm=750,speed_cms=0,heading_cd=62814,pitch_cd=965,roll_cd=-140,yaw_cd=-185,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34511,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":750,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":965,""roll_cd"":-140,""yaw_cd"":-185,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.332+00:00,BIN,"BIN,ver=1,type=1,seq=34740,ts=34,lat=0,lon=0,alt_mm=720,speed_cms=0,heading_cd=62814,pitch_cd=1018,roll_cd=3,yaw_cd=-212,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34740,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":720,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1018,""roll_cd"":3,""yaw_cd"":-212,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.414+00:00,BIN,"BIN,ver=1,type=1,seq=34740,ts=34,lat=0,lon=0,alt_mm=720,speed_cms=0,heading_cd=62814,pitch_cd=963,roll_cd=-47,yaw_cd=-247,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34740,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":720,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":963,""roll_cd"":-47,""yaw_cd"":-247,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.501+00:00,BIN,"BIN,ver=1,type=1,seq=34851,ts=34,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=963,roll_cd=-47,yaw_cd=-247,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34851,""ts"":34,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":963,""roll_cd"":-47,""yaw_cd"":-247,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.669+00:00,BIN,"BIN,ver=1,type=1,seq=34958,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=1006,roll_cd=-33,yaw_cd=-151,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":34958,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1006,""roll_cd"":-33,""yaw_cd"":-151,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.751+00:00,BIN,"BIN,ver=1,type=1,seq=35091,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=1008,roll_cd=12,yaw_cd=-201,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35091,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1008,""roll_cd"":12,""yaw_cd"":-201,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:54.837+00:00,BIN,"BIN,ver=1,type=1,seq=35206,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=936,roll_cd=-65,yaw_cd=-213,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35206,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":936,""roll_cd"":-65,""yaw_cd"":-213,""bat_mv"":0,""status"":2}"
